,name,model,price,kilometers,transmission,fuel_type,seller,power_pk,power_kw,year_manufactured,month_manufactured
0,Abarth,695C,30.95,0.0,Manual,Petrol,Car Company,165,121,2022,9
1,Porsche,911,249.95,6.0,Automatic,Petrol,Car Company,480,353,2022,1
2,Porsche,Cayman,102.99,9.155,Manual,Petrol,Car Company,420,309,2020,3
3,Ford,Mustang,33.99,49.0,Manual,Petrol,Car Company,317,233,2019,5
4,BMW,640,24.0,116.753,Automatic,Petrol,Car Company,320,235,2013,10
5,Mercedes-Benz,AMG GT,94.75,71.189,Automatic,Petrol,Car Company,367,270,2019,1
6,BMW,M5,59.99,121.73,Automatic,Petrol,Car Company,600,441,2018,8
7,Porsche,Boxster,30.9,135.9,Automatic,Petrol,Car Company,295,217,2006,8
8,Tesla,Model Y,66.8,17.5,Automatic,Electric,Car Company,514,378,2021,11
9,Porsche,718,102.99,9.155,Manual,Petrol,Car Company,420,309,2020,3
10,Audi,R8,69.95,53.981,Automatic,Petrol,Car Company,420,309,2007,9
11,BMW,225,20.3,120.434,Automatic,Electric/Petrol,Car Company,224,165,2016,7
12,Bentley,Continental,289.99,3.0,Automatic,Petrol,Car Company,551,405,2022,6
13,Tesla,Model Y,59.95,22.412,Automatic,Electric,Car Company,514,378,2021,11
14,Porsche,Boxster,26.6,93.651,Manual,Petrol,Car Company,211,155,2007,1
15,Lexus,IS 300,27.45,43.754,Automatic,Electric/Petrol,Car Company,181,133,2018,3
16,Fiat,500X,14.99,89.0,Manual,Diesel,Car Company,116,85,2015,5
17,Jaguar,F-Type,69.4,15.0,Automatic,Petrol,Car Company,300,221,2022,1
18,Volkswagen,Passat Variant,10.49,199.989,Manual,Diesel,Car Company,150,110,2015,4
19,MINI,Cooper Countryman,24.2,115.767,Automatic,Electric/Petrol,Car Company,224,165,2019,1
20,Mercedes-Benz,S 450,66.0,126.0,Automatic,Electric/Petrol,Car Company,367,270,2018,12
21,BMW,425,23.5,121.538,Automatic,Diesel,Car Company,218,160,2015,6
22,BMW,420,18.9,129.9,Manual,Petrol,Car Company,184,135,2016,9
23,Jaguar,F-Type,112.9,0.0,Automatic,Petrol,Car Company,575,423,2022,1
24,Porsche,911,97.99,79.594,Automatic,Petrol,Car Company,521,383,2014,7
25,Audi,RS6,124.95,39.98,Automatic,Petrol,Car Company,600,441,2021,5
26,Mercedes-Benz,S 560,99.995,148.679,Automatic,Petrol,Car Company,469,345,2018,5
27,Alpine,A110,65.95,1.739,Automatic,Petrol,Car Company,252,185,2021,8
28,BMW,M3,93.75,3.5,Automatic,Petrol,Car Company,510,375,2021,3
29,BMW,M3,38.5,149.55,Manual,Petrol,Car Company,343,252,2002,3
30,BMW,420,24.9,113.0,Automatic,Diesel,Car Company,184,135,2015,1
31,Alfa Romeo,Giulia,34.49,25.0,Automatic,Petrol,Car Company,201,148,2021,1
32,Porsche,911,169.95,21.528,Manual,Petrol,Car Company,500,368,2017,11
33,Porsche,911,149.95,41.015,Automatic,Petrol,Car Company,450,331,2019,2
34,Audi,TT,30.99,50.35,Automatic,Petrol,Car Company,230,169,2017,10
35,Lamborghini,Aventador,219.95,41.0,Automatic,Petrol,Car Company,700,515,2013,4
36,MG,Marvel R,53.867,0.0,Automatic,Electric,Car Company,302,222,2022,6
37,Audi,RS6,74.9,89.0,Automatic,Petrol,Car Company,560,412,2016,1
38,BMW,M3,95.0,7.5,Automatic,Petrol,Car Company,510,375,2021,11
39,Ford,Focus,30.9,61.5,Manual,Petrol,Car Company,349,257,2017,2
40,BMW,X1,7.99,189.135,Manual,Diesel,Car Company,136,100,2012,3
41,Chevrolet,Camaro,89.95,1.136,Manual,Petrol,Car Company,349,257,1969,2
42,Mercedes-Benz,GLE 63 AMG,78.0,79.0,Automatic,Petrol,Car Company,585,430,2018,7
43,BMW,520,22.99,37.735,Automatic,Diesel,Car Company,184,135,2014,10
44,Land Rover,Range Rover Sport,39.9,155.0,Automatic,Diesel,Car Company,340,250,2016,10
45,Volkswagen,Golf GTE,21.2,114.37,Automatic,Electric/Petrol,Car Company,204,150,2017,10
46,BMW,225,20.4,125.108,Automatic,Electric/Petrol,Car Company,224,165,2017,12
47,Mercedes-Benz,E 63 AMG,77.9,50.0,Automatic,Petrol,Car Company,571,420,2019,2
48,Bentley,Continental,129.99,53.747,Automatic,Petrol,Car Company,506,372,2017,4
