,name,model,price,kilometers,transmission,fuel_type,seller,power_pk,power_kw,year_manufactured,month_manufactured,name_model,kilometers_bins
0,Abarth,695C,30950,0,Manual,Petrol,Car Company,165,121,2022,9,Abarth 695C,L1
1,Porsche,911,249950,6000,Automatic,Petrol,Car Company,480,353,2022,1,Porsche 911,L1
2,Porsche,Cayman,102990,9155,Manual,Petrol,Car Company,420,309,2020,3,Porsche Cayman,L1
3,Ford,Mustang,33990,49000,Manual,Petrol,Car Company,317,233,2019,5,Ford Mustang,L2
4,BMW,640,24000,116753,Automatic,Petrol,Car Company,320,235,2013,10,BMW 640,L4
5,Mercedes-Benz,AMG GT,94750,71189,Automatic,Petrol,Car Company,367,270,2019,1,Mercedes-Benz AMG GT,L3
6,BMW,M5,59990,121730,Automatic,Petrol,Car Company,600,441,2018,8,BMW M5,L4
7,Porsche,Boxster,30900,135900,Automatic,Petrol,Car Company,295,217,2006,8,Porsche Boxster,L5
8,Tesla,Model Y,66800,17500,Automatic,Electric,Car Company,514,378,2021,11,Tesla Model Y,L1
9,Porsche,718,102990,9155,Manual,Petrol,Car Company,420,309,2020,3,Porsche 718,L1
10,Audi,R8,69950,53981,Automatic,Petrol,Car Company,420,309,2007,9,Audi R8,L2
11,BMW,225,20300,120434,Automatic,Electric/Petrol,Car Company,224,165,2016,7,BMW 225,L4
12,Bentley,Continental,289990,3000,Automatic,Petrol,Car Company,551,405,2022,6,Bentley Continental,L1
13,Tesla,Model Y,59950,22412,Automatic,Electric,Car Company,514,378,2021,11,Tesla Model Y,L1
14,Porsche,Boxster,26600,93651,Manual,Petrol,Car Company,211,155,2007,1,Porsche Boxster,L3
15,Lexus,IS 300,27450,43754,Automatic,Electric/Petrol,Car Company,181,133,2018,3,Lexus IS 300,L2
16,Fiat,500X,14990,89000,Manual,Diesel,Car Company,116,85,2015,5,Fiat 500X,L3
17,Jaguar,F-Type,69400,15,Automatic,Petrol,Car Company,300,221,2022,1,Jaguar F-Type,L1
18,Volkswagen,Passat Variant,10490,199989,Manual,Diesel,Car Company,150,110,2015,4,Volkswagen Passat Variant,L6
19,MINI,Cooper Countryman,24200,115767,Automatic,Electric/Petrol,Car Company,224,165,2019,1,MINI Cooper Countryman,L4
20,Mercedes-Benz,S 450,66000,126000,Automatic,Electric/Petrol,Car Company,367,270,2018,12,Mercedes-Benz S 450,L4
21,BMW,425,23500,121538,Automatic,Diesel,Car Company,218,160,2015,6,BMW 425,L4
22,BMW,420,18900,129900,Manual,Petrol,Car Company,184,135,2016,9,BMW 420,L4
23,Jaguar,F-Type,112900,0,Automatic,Petrol,Car Company,575,423,2022,1,Jaguar F-Type,L1
24,Porsche,911,97990,79594,Automatic,Petrol,Car Company,521,383,2014,7,Porsche 911,L3
25,Audi,RS6,124950,39980,Automatic,Petrol,Car Company,600,441,2021,5,Audi RS6,L2
26,Mercedes-Benz,S 560,99995,148679,Automatic,Petrol,Car Company,469,345,2018,5,Mercedes-Benz S 560,L5
27,Alpine,A110,65950,1739,Automatic,Petrol,Car Company,252,185,2021,8,Alpine A110,L1
28,BMW,M3,93750,3500,Automatic,Petrol,Car Company,510,375,2021,3,BMW M3,L1
29,BMW,M3,38500,149550,Manual,Petrol,Car Company,343,252,2002,3,BMW M3,L5
30,BMW,420,24900,113000,Automatic,Diesel,Car Company,184,135,2015,1,BMW 420,L4
31,Alfa Romeo,Giulia,34490,25000,Automatic,Petrol,Car Company,201,148,2021,1,Alfa Romeo Giulia,L1
32,Porsche,911,169950,21528,Manual,Petrol,Car Company,500,368,2017,11,Porsche 911,L1
33,Porsche,911,149950,41015,Automatic,Petrol,Car Company,450,331,2019,2,Porsche 911,L2
34,Audi,TT,30990,50350,Automatic,Petrol,Car Company,230,169,2017,10,Audi TT,L2
35,Lamborghini,Aventador,219950,41000,Automatic,Petrol,Car Company,700,515,2013,4,Lamborghini Aventador,L2
